var_id,level,ref_id
7110,1,7097
7111,1,7097
7112,1,7097
7113,1,7097
9105,1,8002
9106,1,8002
9107,1,8002
9108,1,8002
9109,1,8002
9110,1,8002
9111,1,8002
9112,1,8002
9113,1,8002
9114,1,8002
9115,1,8002
9116,1,8002
9117,1,8002
9118,1,8002
9119,1,8002
9120,1,8002
9121,1,8002
9122,1,8002
9123,1,8002
9124,1,8002
9125,1,8002
9126,1,8002
9127,1,8002
9128,1,8002
9129,1,8002
9130,1,8002
9131,1,8002
9132,1,8002
9133,1,8002
9134,1,8002
9135,1,8002
9136,1,8002
9137,1,8002
9138,1,8002
9139,1,8002
9140,1,8002
9141,1,8002
9142,1,8002
9143,1,8002
9144,1,8002
9145,1,8002
9146,1,8002
9147,1,8002
9148,1,8002
9149,1,8002
9150,1,8002
9151,1,8002
9152,1,8002
9153,1,8002
9154,1,8002
9155,1,8002
9156,1,8002
9157,1,8002
9158,1,8002
9159,1,8002
9160,1,8002
9161,1,8002
9162,1,8002
9163,1,8002
9164,1,8002
9165,1,8002
9166,1,8002
9167,1,8002
9168,1,8002
9169,1,8002
9170,1,8002
9171,1,8002
9172,1,8002
9173,1,8002
9174,1,8002
9175,1,8002
9176,1,8002
9177,1,8002
9178,1,8002
9179,1,8002
9180,1,8002
9181,1,8002
9182,1,8002
9183,1,8002
9184,1,8002
9185,1,8002
9186,1,8002
9187,1,8002
9188,1,8002
9189,1,8002
9190,1,8002
9191,1,8002
9192,1,8002
9193,1,8002
9194,1,8002
9195,1,8002
9196,1,8002
9197,1,8002
9198,1,8002
9199,1,8002
9200,1,8002
9201,1,8002
9202,1,8002
9203,1,8002
9204,1,8002
9205,1,8002
9206,1,8002
9208,1,8003
9209,1,8003
9210,1,8003
9211,1,8003
9212,1,8003
9213,1,8003
9214,1,8003
9215,1,8003
9216,1,8003
9217,1,8003
9218,1,8003
9219,1,8003
9220,1,8003
9221,1,8003
9222,1,8003
9223,1,8003
9224,1,8003
9225,1,8003
9226,1,8003
9227,1,8003
9228,1,8003
9229,1,8003
9230,1,8003
9231,1,8003
9232,1,8003
9233,1,8003
9234,1,8003
9235,1,8003
9236,1,8003
9237,1,8003
9238,1,8003
9239,1,8003
9240,1,8003
9241,1,8003
9242,1,8003
9243,1,8003
9244,1,8003
9245,1,8003
9246,1,8003
9247,1,8003
9248,1,8003
9249,1,8003
9250,1,8003
9251,1,8003
9252,1,8003
9253,1,8003
9254,1,8003
9255,1,8003
9256,1,8003
9257,1,8003
9258,1,8003
9259,1,8003
9260,1,8003
9261,1,8003
9262,1,8003
9263,1,8003
9264,1,8003
9265,1,8003
9266,1,8003
9267,1,8003
9268,1,8003
9269,1,8003
9270,1,8003
9271,1,8003
9272,1,8003
9273,1,8003
9274,1,8003
