LOC,LOCd,LOCo,x_lon,y_lat,OA
IPN0000372,Abram,abram,-2.595571,53.508693,E00031495
IPN0000374,Abram Brow,abrambrow,-2.585011,53.508296,E00031488
IPN0000377,Abridge,abridge,0.117948,51.650289,E00110588
IPN0000381,Abshot,abshot,-1.265975,50.847403,E00115824
IPN0000382,Abson,abson,-2.426571,51.471959,E00075144
IPN0082108,Abthorpe,abthorpe,-1.052747,52.112483,E00138915
IPN0000385,Abwell,abwell,-2.46089,51.705439,E00113624
IPN0000386,Aby,aby,0.116752,53.2834,E00132602
IPN0082111,Acaster Malbis,acastermalbis,-1.106892,53.901863,E00170155
IPN0082114,Acaster Selby,acasterselby,-1.128816,53.865702,E00142014
IPN0000392,Accott,accott,-3.938342,51.075412,E00101895
IPN0000395,Accrington,accrington,-2.347264,53.752809,E00127072
IPN0000411,Achddu,achddu,-4.253281,51.689856,W00003821
IPN0000456,Achurch,achurch,-0.498123,52.434139,E00172233
IPN0000458,Ackenthwaite,ackenthwaite,-2.757752,54.228545,E00097992
IPN0000461,Ackers Crossing,ackerscrossing,-2.22862,53.127031,E00092799
IPN0000462,Ackholt,ackholt,1.209231,51.219668,E00122807
IPN0000463,Acklam,acklam,-1.254137,54.543271,E00060563
IPN0000467,Ackleton,ackleton,-2.33825,52.584067,E00146983
IPN0082126,Acklington,acklington,-1.650143,55.309897,E00139280
IPN0000469,Acklington Park Farm,acklingtonparkfarm,-1.671906,55.316706,E00139280
IPN0000470,Ackton,ackton,-1.376617,53.693447,E00059415
IPN0000474,Ackworth Moor Top,ackworthmoortop,-1.342797,53.638166,E00059339
IPN0082132,Acle,acle,1.548219,52.639402,E00134650
IPN0000481,Acock's Green,acocksgreen,-1.830619,52.446341,E00045798
IPN0082140,Acocks Green,acocksgreen,-1.827164,52.445698,E00045806
IPN0082142,Acol,acol,1.312819,51.356079,E00125381
IPN0000485,Acomb,acomb,-1.127648,53.956152,E00067314
IPN0000488,Acombe Cross,acombecross,-3.146888,50.918142,E00149061
IPN0082147,Aconbury,aconbury,-2.706799,51.997638,E00070992
IPN0000490,Acre,acre,-2.095809,53.549957,E00181720
IPN0000491,Acre,acre,-2.323502,53.719619,E00172556
IPN0000492,Acrefair,acrefair,-3.081446,52.980841,W00001901
IPN0000493,Acreland Green,acrelandgreen,0.383251,51.807618,E00112073
IPN0000494,Acre Mill,acremill,-2.218789,53.690554,E00128859
IPN0000495,Acre Nook,acrenook,-2.266554,53.243721,E00093857
IPN0000496,Acre Rise,acrerise,-1.772688,53.854663,E00053354
IPN0000497,Acres,acres,-2.16527,53.558241,E00027022
IPN0000498,Acresford,acresford,-1.558828,52.714712,E00131707
IPN0000499,Acresford,acresford,-1.560552,52.715546,E00100549
IPN0000500,Acres Hill,acreshill,-1.419362,53.382024,E00040599
IPN0000501,Acres Nook,acresnook,-2.240288,53.07541,E00150751
IPN0000502,Acre Street,acrestreet,-0.870085,50.784402,E00166593
IPN0082149,Acrise,acrise,1.136225,51.138562,E00124566
IPN0000506,Acton,acton,0.717245,51.017709,E00121837
IPN0082153,Acton,acton,0.761012,52.070665,E00152482
IPN0082154,Acton,acton,-2.550212,53.072943,E00184642
IPN0000510,Acton,acton,-2.01834,50.605069,E00103765
IPN0000507,Acton,acton,-0.270115,51.507913,E00179222
IPN0000508,Acton,acton,-2.265006,52.968384,E00150683
IPN0000509,Acton,acton,-1.709569,55.316262,E00139270
IPN0000511,Acton,acton,-3.012062,52.457506,E00147719
IPN0082159,Acton,acton,-2.983513,53.059533,W00001842
IPN0000512,Acton,acton,-2.226474,52.287836,E00165273
IPN0082164,Acton Beauchamp,actonbeauchamp,-2.474892,52.148454,E00070741
IPN0082166,Acton Bridge,actonbridge,-2.606544,53.273533,E00094428
IPN0082171,Acton Burnell,actonburnell,-2.694306,52.613909,E00147474
IPN0000522,Acton Castle,actoncastle,-5.427084,50.105434,E00095938
IPN0000524,Actoncliff,actoncliff,-2.630602,53.277948,E00094428
IPN0000525,Acton Gate,actongate,-2.107681,52.770807,E00151098
IPN0000526,Acton Grange,actongrange,-2.620359,53.357644,E00063056
IPN0000527,Acton Green,actongreen,-0.270132,51.507463,E00179134
IPN0000528,Acton Green,actongreen,-2.444244,52.146964,E00070741
IPN0000529,Acton Hill,actonhill,-2.082982,52.775735,E00151098
IPN0000530,Acton Park,actonpark,-0.259314,51.507753,E00179238
IPN0000531,Acton Pigott,actonpigott,-2.677984,52.620548,E00147474
IPN0000532,Acton Reynald,actonreynald,-2.694247,52.807895,E00147093
IPN0082178,Acton Round,actonround,-2.537448,52.556747,E00146935
IPN0082180,Acton Scott,actonscott,-2.805617,52.504826,E00147633
IPN0000536,Acton Trussell,actontrussell,-2.10594,52.768076,E00151098
IPN0082184,Acton Turville,actonturville,-2.274794,51.527594,E00075240
IPN0082188,Adamsdown,adamsdown,-3.166059,51.481378,W00009982
IPN0000543,Adam's Green,adamsgreen,-2.645673,50.865336,E00104108
IPN0000544,Adams Hill,adamshill,-2.109795,52.414137,E00163931
IPN0000545,Adam's Land,adamsland,-2.470387,51.528322,E00075348
IPN0082190,Adbaston,adbaston,-2.348118,52.852924,E00151305
IPN0000547,Adber,adber,-2.573324,50.97956,E00104187
IPN0000548,Adbolton,adbolton,-1.10604,52.938421,E00173589
IPN0000549,Adbury,adbury,-1.302416,51.366992,E00114343
IPN0000550,Adcote,adcote,-2.862609,52.769482,E00147523
IPN0082192,Adderbury,adderbury,-1.311749,52.016881,E00144839
IPN0082196,Adderley,adderley,-2.503722,52.954308,E00147089
IPN0000555,Adderley Green,adderleygreen,-2.123944,53.001157,E00171631
IPN0000556,Adder's Moss,addersmoss,-2.203233,53.28933,E00093860
IPN0000558,Adderwell,adderwell,-2.313576,51.223518,E00147870
IPN0000559,Addicroft,addicroft,-4.401917,50.530741,E00094790
IPN0000562,Addingford,addingford,-1.553011,53.654506,E00059468
IPN0082199,Addingham,addingham,-1.882763,53.944,E00053692
IPN0000565,Addingham Moorside,addinghammoorside,-1.886955,53.926145,E00177821
IPN0000568,Addington,addington,-4.460952,50.461147,E00094741
IPN0000569,Addington,addington,-0.033665,51.35985,E00005298
IPN0000572,Addiscombe,addiscombe,-0.070268,51.377545,E00004939
IPN0000574,Addiscott,addiscott,-3.888556,50.724848,E00103049
IPN0000575,Addison,addison,-1.741423,54.972613,E00041818
IPN0000577,Addison Grove,addisongrove,-3.111625,51.026307,E00149220
IPN0000579,Addlestead,addlestead,0.376059,51.21233,E00125597
IPN0000581,Addlestone,addlestone,-0.495167,51.368936,E00156293
IPN0000583,Addlestonemoor,addlestonemoor,-0.491192,51.380575,E00156317
IPN0082216,Addlethorpe,addlethorpe,0.317127,53.195013,E00132296
IPN0000586,Adel,adel,-1.583442,53.851908,E00057400
IPN0000587,Adelaide,adelaide,0.299392,52.409087,E00090929
IPN0000588,Adelaide Bank,adelaidebank,-1.65831,54.641159,E00105569
IPN0000590,Adel East Moor,adeleastmoor,-1.568249,53.851046,E00169589
IPN0000591,Adelphi,adelphi,-2.708652,53.766183,E00128484
IPN0000593,Adeney,adeney,-2.443521,52.762979,E00173135
IPN0000594,Adeyfield,adeyfield,-0.451231,51.754583,E00189439
IPN0000597,Adfa,adfa,-3.389065,52.600229,W00002606
IPN0082221,Adforton,adforton,-2.882465,52.334663,E00070943
IPN0000599,Adgestone,adgestone,-1.160504,50.671473,E00087319
IPN0082223,Adisham,adisham,1.186827,51.238298,E00122065
IPN0082226,Adlestrop,adlestrop,-1.647267,51.941221,E00112696
IPN0000603,Adley Moor,adleymoor,-2.91268,52.365847,E00070954
IPN0000604,Adleymoor Common,adleymoorcommon,-2.907618,52.36683,E00070954
IPN0000605,Adlingfleet,adlingfleet,-0.716854,53.679926,E00065991
IPN0082229,Adlington,adlington,-2.129297,53.320759,E00094206
IPN0082230,Adlington,adlington,-2.597371,53.617312,E00126475
IPN0000610,Admaston,admaston,-1.926982,52.806217,E00149857
IPN0000611,Admaston,admaston,-2.550335,52.712997,E00071711
IPN0082237,Admington,admington,-1.705709,52.115894,E00186876
IPN0000616,Adpar,adpar,-4.467858,52.042567,W00002836
IPN0000617,Adsborough,adsborough,-3.030162,51.05664,E00148447
IPN0000618,Adsborough,adsborough,-3.031476,51.057977,E00186523
IPN0000619,Adscombe,adscombe,-3.167701,51.135471,E00148343
IPN0000620,Adsdean,adsdean,-0.870753,50.876731,E00160677
IPN0000621,Adsdean Park,adsdeanpark,-0.870093,50.878199,E00160677
IPN0000622,Adsett,adsett,-2.404553,51.830356,E00113193
IPN0082243,Adstock,adstock,-0.927713,51.965548,E00089488
IPN0082245,Adstone,adstone,-1.131448,52.158871,E00138685
IPN0000625,Adswood,adswood,-2.169125,53.389159,E00029173
IPN0000629,Adversane,adversane,-0.474721,50.997538,E00161211
IPN0000631,Adwalton,adwalton,-1.660825,53.749507,E00058077
IPN0082250,Adwell,adwell,-0.994036,51.690356,E00146073
IPN0000635,Adwick le Street,adwicklestreet,-1.192763,53.574418,E00037835
IPN0082255,Adwick upon Dearne,adwickupondearne,-1.29349,53.509473,E00182647
IPN0000638,"Clawdd, Adwr",adwrclawdd,-3.061399,53.050153,W00001938
IPN0000639,Adwyr Clawdd,adwyrclawdd,-3.061399,53.050153,W00001938
IPN0000640,Adwyr Farm,adwyrfarm,-3.051769,53.052936,W00001949
IPN0000641,Adzor Bank,adzorbank,-2.759532,52.124317,E00071218
IPN0000645,Affaland Cross,affalandcross,-4.367276,50.765757,E00102758
IPN0000646,Affcot,affcot,-2.808359,52.472739,E00147772
IPN0000647,Affetside,affetside,-2.371108,53.618811,E00025539
IPN0000648,Affpuddle,affpuddle,-2.276249,50.74175,E00103877
IPN0000651,Afon Eitha,afoneitha,-3.056407,52.999747,W00002160
IPN0000653,Afon Wen,afonwen,-4.325017,52.912748,W00000454
IPN0000652,Afon-wen,afonwen,-3.306762,53.234105,W00001451
IPN0000654,Afterwashes,afterwashes,-5.353353,50.13125,E00095232
IPN0000655,Afton,afton,-1.508188,50.673369,E00087434
IPN0000656,Afton,afton,-3.634687,50.452576,E00102071
IPN0000658,Agardsley Park,agardsleypark,-1.801758,52.84374,E00150166
IPN0000659,Agar Nook,agarnook,-1.329047,52.723452,E00131611
IPN0000660,Agbrigg,agbrigg,-1.467644,53.668898,E00059619
IPN0000663,Agden Brow,agdenbrow,-2.424245,53.373981,E00094116
IPN0000664,Agecroft,agecroft,-2.296279,53.511427,E00181617
IPN0000665,Aggborough,aggborough,-2.246325,52.3777,E00165342
IPN0000667,Agglethorpe,agglethorpe,-1.867839,54.273787,E00141373
IPN0000668,Aglionby,aglionby,-2.865459,54.90124,E00097297
IPN0000669,Agmerhurst,agmerhurst,0.418725,50.905353,E00107155
IPN0000671,Aigburth,aigburth,-2.926546,53.369953,E00033060
IPN0000672,Aigburth Vale,aigburthvale,-2.934207,53.376635,E00033046
IPN0000676,Aike,aike,-0.40699,53.898328,E00065191
IPN0000679,Aiketgate,aiketgate,-2.809849,54.811125,E00097621
IPN0000680,Aikhead,aikhead,-3.189391,54.833164,E00096706
IPN0000681,Aikrigg,aikrigg,-2.731117,54.319359,E00097872
IPN0000682,Aikshaw,aikshaw,-3.364353,54.804361,E00096545
IPN0082265,Aikton,aikton,-3.131868,54.870597,E00096691
IPN0000684,Ailby,ailby,0.152506,53.270047,E00132156
IPN0000685,Ailey,ailey,-2.967096,52.130799,E00168533
IPN0000686,Ailscroft,ailscroft,-2.435895,52.091181,E00070821
IPN0000687,Ailstone,ailstone,-1.697821,52.157213,E00159125
IPN0082267,Ailsworth,ailsworth,-0.352896,52.575756,E00079024
IPN0000689,Ailwood,ailwood,-2.009866,50.629801,E00103753
